
 {'ts': 1690676692477, 'value': 59.10376988714221, 'response': 200, 'system_ts': 1729074495.6933525}
 {'ts': 1690755893624, 'value': 58.9991184106063, 'response': 200, 'system_ts': 1729074531.54342}
 {'ts': 1690748693588, 'value': 58.99278141263021, 'response': 200, 'system_ts': 1729074532.3219264}
 {'ts': 1690741493520, 'value': 58.91498428526846, 'response': 200, 'system_ts': 1729074533.1279464}
 {'ts': 1690734293452, 'value': 58.91432202538029, 'response': 200, 'system_ts': 1729074533.9308157}
 {'ts': 1690727093408, 'value': 58.86354805540189, 'response': 200, 'system_ts': 1729074534.7085552}
 {'ts': 1690719892198, 'value': 58.677775055486435, 'response': 200, 'system_ts': 1729074535.5126503}
 {'ts': 1690712692755, 'value': 58.888727257077946, 'response': 200, 'system_ts': 1729074536.2914665}
 {'ts': 1690705493254, 'value': 59.017622988935, 'response': 200, 'system_ts': 1729074537.069774}
 {'ts': 1690698294903, 'value': 59.07077330793042, 'response': 200, 'system_ts': 1729074537.8480852}
 {'ts': 1690691093161, 'value': 59.093199555867685, 'response': 200, 'system_ts': 1729074538.6261132}
 {'ts': 1690683892525, 'value': 59.107366918221786, 'response': 200, 'system_ts': 1729074539.4050198}
 {'ts': 1690676692477, 'value': 59.10376988714221, 'response': 200, 'system_ts': 1729074540.1844087}
 {'ts': 1690755893624, 'value': 58.9991184106063, 'response': 200, 'system_ts': 1729074704.2411883}
 {'ts': 1690748693588, 'value': 58.99278141263021, 'response': 200, 'system_ts': 1729074705.0459402}
 {'ts': 1690741493520, 'value': 58.91498428526846, 'response': 200, 'system_ts': 1729074705.8257518}
 {'ts': 1690734293452, 'value': 58.91432202538029, 'response': 200, 'system_ts': 1729074706.604981}
 {'ts': 1690727093408, 'value': 58.86354805540189, 'response': 200, 'system_ts': 1729074707.384774}
 {'ts': 1690719892198, 'value': 58.677775055486435, 'response': 200, 'system_ts': 1729074708.1640954}
 {'ts': 1690712692755, 'value': 58.888727257077946, 'response': 200, 'system_ts': 1729074708.9436994}
 {'ts': 1690705493254, 'value': 59.017622988935, 'response': 200, 'system_ts': 1729074709.722956}
 {'ts': 1690698294903, 'value': 59.07077330793042, 'response': 200, 'system_ts': 1729074710.5023584}
 {'ts': 1690691093161, 'value': 59.093199555867685, 'response': 200, 'system_ts': 1729074711.30758}
 {'ts': 1690683892525, 'value': 59.107366918221786, 'response': 200, 'system_ts': 1729074712.0869937}
 {'ts': 1690676692477, 'value': 59.10376988714221, 'response': 200, 'system_ts': 1729074712.8665168}
 {'ts': 1690755893624, 'value': 58.9991184106063, 'response': 200, 'system_ts': 1729075116.2271597}
 {'ts': 1690748693588, 'value': 58.99278141263021, 'response': 200, 'system_ts': 1729075117.008477}
 {'ts': 1690741493520, 'value': 58.91498428526846, 'response': 200, 'system_ts': 1729075117.8131819}
 {'ts': 1690734293452, 'value': 58.91432202538029, 'response': 200, 'system_ts': 1729075118.6416664}
 {'ts': 1690727093408, 'value': 58.86354805540189, 'response': 200, 'system_ts': 1729075119.4466736}
 {'ts': 1690719892198, 'value': 58.677775055486435, 'response': 200, 'system_ts': 1729075120.2003167}
 {'ts': 1690712692755, 'value': 58.888727257077946, 'response': 200, 'system_ts': 1729075121.0043955}
 {'ts': 1690705493254, 'value': 59.017622988935, 'response': 200, 'system_ts': 1729075121.8336377}
 {'ts': 1690698294903, 'value': 59.07077330793042, 'response': 200, 'system_ts': 1729075122.6366205}
 {'ts': 1690691093161, 'value': 59.093199555867685, 'response': 200, 'system_ts': 1729075123.414898}
 {'ts': 1690683892525, 'value': 59.107366918221786, 'response': 200, 'system_ts': 1729075124.2188318}
 {'ts': 1690676692477, 'value': 59.10376988714221, 'response': 200, 'system_ts': 1729075124.9980338}
 {'ts': 1690755893624, 'value': 58.9991184106063, 'response': 200, 'system_ts': 1729075215.3708744}
 {'ts': 1690748693588, 'value': 58.99278141263021, 'response': 200, 'system_ts': 1729075216.1504867}
 {'ts': 1690741493520, 'value': 58.91498428526846, 'response': 200, 'system_ts': 1729075216.9319608}
 {'ts': 1690734293452, 'value': 58.91432202538029, 'response': 200, 'system_ts': 1729075217.7637134}
 {'ts': 1690727093408, 'value': 58.86354805540189, 'response': 200, 'system_ts': 1729075218.5746834}
 {'ts': 1690719892198, 'value': 58.677775055486435, 'response': 200, 'system_ts': 1729075219.3816874}
 {'ts': 1690712692755, 'value': 58.888727257077946, 'response': 200, 'system_ts': 1729075220.1628687}
 {'ts': 1690705493254, 'value': 59.017622988935, 'response': 200, 'system_ts': 1729075220.9608848}
 {'ts': 1690698294903, 'value': 59.07077330793042, 'response': 200, 'system_ts': 1729075221.740823}
 {'ts': 1690691093161, 'value': 59.093199555867685, 'response': 200, 'system_ts': 1729075222.5206833}
 {'ts': 1690683892525, 'value': 59.107366918221786, 'response': 200, 'system_ts': 1729075223.300676}
 {'ts': 1690676692477, 'value': 59.10376988714221, 'response': 200, 'system_ts': 1729075224.0801744}
